mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
51696,Neural Tube Defect Risk,,,"code-search proposed 48803-1 |Neural tube defect risk [Likelihood] in Fetus| at 0.70 for 'Hospital laboratory analyte measured in Blood: Neural Tube Defect Risk', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Neural Tube Defect Risk,48803-1,Neural tube defect risk [Likelihood] in Fetus,0.70,below-threshold,Analyte+property match; specimen differs (Fetus vs Blood)
51698,No MD,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: No MD' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: No MD,,,,no-match,
51699,Not Done,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Not Done' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Not Done,,,,no-match,
51700,Np-fx,71425-3,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Blood by Immunoassay,,Hospital laboratory analyte measured in Blood: Np-fx,71425-3,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Blood by Immunoassay,0.85,ok,Np-fx = natriuretic peptide N-terminal fragment; in Blood
51701,"Osmolality, Calculated",18182-6,Osmolality of Serum or Plasma by calculated by sum of electrolytes,,"Hospital laboratory analyte measured in Blood: Osmolality, Calculated",18182-6,Osmolality of Serum or Plasma by calculated by sum of electrolytes,0.85,ok,"Blood osmolality, calculated; matches input meaning"
51702,Park,,,"code-search proposed 95283-8 |PARK7 gene deletion in Blood or Tissue by Molecular genetics method| at 0.70 for 'Hospital laboratory analyte measured in Blood: Park', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Park,95283-8,PARK7 gene deletion in Blood or Tissue by Molecular genetics method,0.70,below-threshold,"Park analyte in blood; PARK7 gene best match, some ambiguity"
51703,PEPgel,24351-9,Protein electrophoresis panel - Serum or Plasma,,Hospital laboratory analyte measured in Blood: PEPgel,24351-9,Protein electrophoresis panel - Serum or Plasma,0.85,ok,PEPgel = protein electrophoresis gel; panel in blood matches
51704,Platelet Count,777-3,Platelets [#/volume] in Blood by Automated count,,Hospital laboratory analyte measured in Blood: Platelet Count,777-3,Platelets [#/volume] in Blood by Automated count,0.90,ok,Standard platelet count in blood; method not specified so automated default
51705,Primidone,14887-4,Primidone [Moles/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Primidone,14887-4,Primidone [Moles/volume] in Serum or Plasma,0.80,ok,Primidone analyte measured in blood; serum/plasma closest to blood
51706,Problem Specimen,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Problem Specimen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Problem Specimen,,,,no-match,
51707,Progesterone,2839-9,Progesterone [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Progesterone,2839-9,Progesterone [Mass/volume] in Serum or Plasma,0.85,ok,Standard blood progesterone lab test; Serum/Plasma = Blood
51708,Qnthbsab,16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: Qnthbsab,16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,0.85,ok,"Qnthbsab = quantitative HBsAb; 16935-9 is the Qn serum assay, closest to blood specimen"
51709,Quantitative RPR Test,20508-8,Reagin Ab [Units/volume] in Serum or Plasma by RPR,,Hospital laboratory analyte measured in Blood: Quantitative RPR Test,20508-8,Reagin Ab [Units/volume] in Serum or Plasma by RPR,0.85,ok,Quantitative RPR test in blood/serum/plasma
51710,Rapid Plasma Reagin Test,20508-8,Reagin Ab [Units/volume] in Serum or Plasma by RPR,,Hospital laboratory analyte measured in Blood: Rapid Plasma Reagin Test,20508-8,Reagin Ab [Units/volume] in Serum or Plasma by RPR,0.85,ok,"RPR test; serum/plasma is blood specimen, matches test meaning"
51712,Referred,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Referred' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Referred,,,,no-match,
51713,Reflex Confirmatory Hepatitis C Viral Load,20416-4,Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,,Hospital laboratory analyte measured in Blood: Reflex Confirmatory Hepatitis C Viral Load,20416-4,Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,0.85,ok,Quantitative HCV viral load in blood; matches analyte and specimen
51714,Reflex HIV Confirmation,,,"code-search proposed 86233-4 |HIV 1 Ab [Presence] in Serum, Plasma or Blood by Immunoblot| at 0.75 for 'Hospital laboratory analyte measured in Blood: Reflex HIV Confirmation', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Reflex HIV Confirmation,86233-4,"HIV 1 Ab [Presence] in Serum, Plasma or Blood by Immunoblot",0.75,below-threshold,Confirmatory HIV antibody test in blood; reflex confirmation
51715,Renin,35570-1,Renin [Mass/volume] in Plasma,,Hospital laboratory analyte measured in Blood: Renin,35570-1,Renin [Mass/volume] in Plasma,0.80,ok,"Renin analyte; plasma is blood component, minor specimen qualifier mismatch"
51717,Reserved,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Reserved' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Reserved,,,,no-match,
51718,Reserved1,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Reserved1' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Reserved1,,,,no-match,
51719,Reserved3,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Reserved3' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Reserved3,,,,no-match,
51720,Reserved4,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Reserved4' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Reserved4,,,,no-match,
51721,Reverse T3,3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Reverse T3,3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma,0.85,ok,Reverse T3 lab analyte; serum/plasma is blood specimen
51722,RFXLDLM,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: RFXLDLM' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: RFXLDLM,,,,no-match,
51723,Rubella,22496-4,Rubella virus Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Rubella,22496-4,Rubella virus Ab [Presence] in Serum,0.80,ok,Generic rubella antibody test in blood; input doesn't specify subtype
51724,Rubella IgG Ab,8014-3,Rubella virus IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: Rubella IgG Ab,8014-3,Rubella virus IgG Ab [Units/volume] in Serum,0.85,ok,Rubella IgG Ab measured in blood; serum quantitative test is standard match
51725,Rubeola IgG Ab,20479-2,Measles virus IgG Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Rubeola IgG Ab,20479-2,Measles virus IgG Ab [Presence] in Serum,0.85,ok,Rubeola=measles; IgG Ab in blood/serum matches
51726,Rubeola IgG Ab Value,7962-4,Measles virus IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: Rubeola IgG Ab Value,7962-4,Measles virus IgG Ab [Units/volume] in Serum,0.85,ok,Rubeola=measles; quantitative IgG value in blood/serum
51727,Send Out,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Send Out' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Send Out,,,,no-match,
51728,Serum B12,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Serum B12,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,0.90,ok,Standard serum B12 analyte test; matches input
51729,Serum B12,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Serum B12,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,0.90,ok,Standard serum B12 analyte test; matches input
51730,Serum Folate,2284-8,Folate [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Serum Folate,2284-8,Folate [Mass/volume] in Serum or Plasma,0.85,ok,Serum folate analyte test; candidates with B12 overstep
51731,Single Stranded DNA,,,"code-search proposed 5132-6 |DNA single strand Ab [Units/volume] in Serum| at 0.70 for 'Hospital laboratory analyte measured in Blood: Single Stranded DNA', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Single Stranded DNA,5132-6,DNA single strand Ab [Units/volume] in Serum,0.70,below-threshold,Closest LOINC analyte for single stranded DNA in blood; antibody qualifier and serum specimen are minor mismatches
51732,STX1,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX1' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX1,,,,no-match,
51733,STX2,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX2' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX2,,,,no-match,
51734,STX3,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX3' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX3,,,,no-match,
51735,STX4,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX4' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX4,,,,no-match,
51736,STX5,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX5' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX5,,,,no-match,
51737,STX6,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: STX6' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: STX6,,,,no-match,
51738,Thyroid Binding Globulin,3020-5,Thyroxine binding globulin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Thyroid Binding Globulin,3020-5,Thyroxine binding globulin [Mass/volume] in Blood,0.85,ok,FSN matches analyte in Blood exactly
51739,Total CO2,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",,Hospital laboratory analyte measured in Blood: Total CO2,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",0.85,ok,FSN matches Total CO2 in Blood exactly
51740,Toxic Screen,29587-3,Toxicology panel - Blood,,Hospital laboratory analyte measured in Blood: Toxic Screen,29587-3,Toxicology panel - Blood,0.85,ok,Toxicology panel in blood matches toxic screen in blood
51741,Toxoplasma IgG Ab,22580-5,Toxoplasma gondii IgG Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Toxoplasma IgG Ab,22580-5,Toxoplasma gondii IgG Ab [Presence] in Serum,0.85,ok,Toxoplasma IgG Ab measured in blood; serum is standard blood specimen
51742,Toxoplasma IgG Ab Value,8039-0,Toxoplasma gondii IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: Toxoplasma IgG Ab Value,8039-0,Toxoplasma gondii IgG Ab [Units/volume] in Serum,0.85,ok,Quantitative Toxoplasma IgG Ab in blood (serum); Value matches ACnc
51743,Toxoplasma IgM Ab,25542-2,Toxoplasma gondii IgM Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Toxoplasma IgM Ab,25542-2,Toxoplasma gondii IgM Ab [Presence] in Serum,0.80,ok,Toxoplasma IgM Ab in blood; serum is standard blood specimen
51744,Toxoplasma IgM Ab Value,8040-8,Toxoplasma gondii IgM Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: Toxoplasma IgM Ab Value,8040-8,Toxoplasma gondii IgM Ab [Units/volume] in Serum,0.85,ok,Quantitative Toxoplasma IgM Ab in blood-derived specimen matches 'Value'
51745,Toxoplasma Interpretation,20464-4,Toxoplasma gondii Ab [Interpretation] in Serum,,Hospital laboratory analyte measured in Blood: Toxoplasma Interpretation,20464-4,Toxoplasma gondii Ab [Interpretation] in Serum,0.85,ok,FSN matches Toxoplasma interpretation in blood
51746,Transferrin Saturation,2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Transferrin Saturation,2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,0.85,ok,Transferrin saturation = iron saturation in blood; mass fraction standard
51747,Treponemal Antibody Test,22585-4,Treponema pallidum Ab [Units/volume] in Blood,,Hospital laboratory analyte measured in Blood: Treponemal Antibody Test,22585-4,Treponema pallidum Ab [Units/volume] in Blood,0.85,ok,Treponemal antibody test measured in blood
51748,Treponema pallidum (Syphilis) Ab,22585-4,Treponema pallidum Ab [Units/volume] in Blood,,Hospital laboratory analyte measured in Blood: Treponema pallidum (Syphilis) Ab,22585-4,Treponema pallidum Ab [Units/volume] in Blood,0.90,ok,"FSN matches analyte, property, and blood specimen; no unstated method"
51749,Treponema pallidum (syphilis) value,22585-4,Treponema pallidum Ab [Units/volume] in Blood,,Hospital laboratory analyte measured in Blood: Treponema pallidum (syphilis) value,22585-4,Treponema pallidum Ab [Units/volume] in Blood,0.85,ok,"FSN matches: Treponema pallidum Ab in Blood, quantitative value"
51750,"UE3, Multiples of Median",20466-9,Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: UE3, Multiples of Median",20466-9,Estriol (E3).unconjugated [Multiple of the median] in Serum or Plasma,0.85,ok,"UE3=unconjugated estriol, Blood=Ser/Plas, MoM matches exactly"
51751,Uncon Bil,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Uncon Bil,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,0.85,ok,Unconjugated bilirubin (non-glucuronidated) in blood; LOINC standard specimen is Ser/Plas
51752,Voided Specimen,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Voided Specimen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Voided Specimen,,,,no-match,
51753,VZV IgG Ab,8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: VZV IgG Ab,8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,0.85,ok,VZV IgG Ab measured in blood; serum is the blood specimen
51754,VZV IgG Ab Value,8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: VZV IgG Ab Value,8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,0.85,ok,Quantitative VZV IgG in blood/serum matches 'Value' and 'Blood'
51755,White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,0.85,ok,White Blood Cells = Leukocytes; measured in Blood matches FSN
51756,White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,0.85,ok,White Blood Cells = Leukocytes; measured in Blood matches FSN
51757,Xxx,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Xxx' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Xxx,,,,no-match,
51758,Xylose,3134-4,Xylose [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Xylose,3134-4,Xylose [Mass/volume] in Blood,0.85,ok,FSN matches Xylose in Blood without unstated specifiers
51759,Z,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Z' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Z,,,,no-match,
51760,Z,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Z' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Z,,,,no-match,
51761,Zinc,8245-3,Zinc [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Zinc,8245-3,Zinc [Mass/volume] in Blood,0.85,ok,Zinc measured in blood; standard quantitative test
51762,EE1,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE1' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE1,,,,no-match,
51763,EE2,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE2' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE2,,,,no-match,
51764,EE7,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE7' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE7,,,,no-match,
51765,EE3,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE3' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE3,,,,no-match,
51767,EE5,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE5' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE5,,,,no-match,
51768,EE6,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: EE6' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: EE6,,,,no-match,
51769,RUBIgGV,8014-3,Rubella virus IgG Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: RUBIgGV,8014-3,Rubella virus IgG Ab [Units/volume] in Serum,0.85,ok,"RUBIgGV = Rubella virus IgG Ab; measured in blood, quantitative units/volume in serum"
51770,MDRDgfr,77147-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M",,Hospital laboratory analyte measured in Blood: MDRDgfr,77147-7,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M",0.85,ok,MDRD GFR measured in blood; matches analyte and method
51771,51771,,,"Not sent to code-search: the dictionary records no label for it, so no sentence could state what was measured and in what. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,not-searchable,
51772,PAN3,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: PAN3' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: PAN3,,,,no-match,
51773,RFXFRKL,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: RFXFRKL' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: RFXFRKL,,,,no-match,
51774,RFXHCV,,,"code-search proposed 16128-1 |Hepatitis C virus Ab [Presence] in Serum| at 0.75 for 'Hospital laboratory analyte measured in Blood: RFXHCV', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: RFXHCV,16128-1,Hepatitis C virus Ab [Presence] in Serum,0.75,below-threshold,RFXHCV = reflex HCV test in blood; generic serum HCV antibody test
51775,(Albumin),1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,,Hospital laboratory analyte measured in Cerebrospinal Fluid: (Albumin),1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,0.85,ok,Standard quantitative albumin CSF analyte
51776,<Albumin>,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,,Hospital laboratory analyte measured in Cerebrospinal Fluid: <Albumin>,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches albumin measured in CSF
51777,"Albumin, CSF",1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Albumin, CSF",1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,0.85,ok,Generic CSF albumin analyte; standard quantitative measure matches input
51778,Alpha-1,2864-7,Alpha 1 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,,Hospital laboratory analyte measured in Cerebrospinal Fluid: Alpha-1,2864-7,Alpha 1 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,0.85,ok,Alpha-1 analyte in CSF; method unstated but this is the standard CSF Alpha-1 globulin test
51779,Alpha-2,2867-0,Alpha 2 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,,Hospital laboratory analyte measured in Cerebrospinal Fluid: Alpha-2,2867-0,Alpha 2 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,0.85,ok,Alpha-2 globulin measured in CSF; method/specificity not stated in input
51780,"Amylase, CSF",14389-1,Amylase [Enzymatic activity/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Amylase, CSF",14389-1,Amylase [Enzymatic activity/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Amylase in CSF exactly
51781,Beta,,,"code-search returned no match for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Beta' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Cerebrospinal Fluid: Beta,,,,no-match,
51782,"Bicarbonate, CSF",16460-8,Bicarbonate [Moles/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Bicarbonate, CSF",16460-8,Bicarbonate [Moles/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Bicarbonate in CSF exactly
51783,"Bilirubin, Total, CSF",1973-7,Bilirubin.total [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Bilirubin, Total, CSF",1973-7,Bilirubin.total [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Bilirubin Total CSF exactly
51784,"Chloride, CSF",2070-1,Chloride [Moles/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Chloride, CSF",2070-1,Chloride [Moles/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Chloride in CSF exactly
51785,"Cholesterol, CSF",14439-4,Cholesterol [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Cholesterol, CSF",14439-4,Cholesterol [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Cholesterol in CSF exactly
51786,Clostrid,,,"code-search returned no match for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Clostrid' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Cerebrospinal Fluid: Clostrid,,,,no-match,
51787,"Creatinine, CSF",14398-2,Creatinine [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Creatinine, CSF",14398-2,Creatinine [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Creatinine in CSF exactly
51788,Cryptococ,31788-3,Cryptococcus sp Ag [Presence] in Cerebral spinal fluid,,Hospital laboratory analyte measured in Cerebrospinal Fluid: Cryptococ,31788-3,Cryptococcus sp Ag [Presence] in Cerebral spinal fluid,0.85,ok,"CSF Cryptococcus analyte; generic presence, no unstated method"
51789,Fl Scan,,,"code-search returned no match for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Fl Scan' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Cerebrospinal Fluid: Fl Scan,,,,no-match,
51790,"Glucose, CSF",2342-4,Glucose [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Glucose, CSF",2342-4,Glucose [Mass/volume] in Cerebral spinal fluid,0.85,ok,Standard Glucose CSF analyte; mass/volume is the canonical form
51791,HIV 1 Viral Load,41498-7,HIV 1 RNA [#/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,,Hospital laboratory analyte measured in Cerebrospinal Fluid: HIV 1 Viral Load,41498-7,HIV 1 RNA [#/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,0.95,ok,FSN matches HIV 1 viral load in CSF quantitatively
51792,"Immunoelectrophoresis, CSF",40685-0,Immunoelectrophoresis for Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Immunoelectrophoresis, CSF",40685-0,Immunoelectrophoresis for Cerebral spinal fluid,0.85,ok,CSF immunoelectrophoresis test; matches analyte and specimen
51793,"Immunoglobulin G, CSF",2464-6,IgG [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Immunoglobulin G, CSF",2464-6,IgG [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches IgG measured in CSF
51794,"Immunoglobulin G, CSF",2464-6,IgG [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Immunoglobulin G, CSF",2464-6,IgG [Mass/volume] in Cerebral spinal fluid,0.85,ok,FSN matches IgG measured in CSF
51795,"Lactate Dehydrogenase, CSF",,,"code-search returned no match for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Lactate Dehydrogenase, CSF' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).","Hospital laboratory analyte measured in Cerebrospinal Fluid: Lactate Dehydrogenase, CSF",,,,no-match,
51796,"Miscellaneous, CSF",,,"code-search returned no match for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Miscellaneous, CSF' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).","Hospital laboratory analyte measured in Cerebrospinal Fluid: Miscellaneous, CSF",,,,no-match,
51797,"Osmolality, CSF",,,"code-search proposed 15200-9 |Osmolality of Body fluid| at 0.70 for 'Hospital laboratory analyte measured in Cerebrospinal Fluid: Osmolality, CSF', below the 0.8 threshold.","Hospital laboratory analyte measured in Cerebrospinal Fluid: Osmolality, CSF",15200-9,Osmolality of Body fluid,0.70,below-threshold,No CSF-specific code; Body fluid is closest broader match
51798,"PEP, CSF",75056-2,Pyridoxal phosphate [Moles/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: PEP, CSF",75056-2,Pyridoxal phosphate [Moles/volume] in Cerebral spinal fluid,0.85,ok,PEP = pyridoxal phosphate; CSF analyte matches
51799,"PEP, CSF, Gamma Region",13977-4,Gamma globulin/Protein.total in Cerebral spinal fluid by Electrophoresis,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: PEP, CSF, Gamma Region",13977-4,Gamma globulin/Protein.total in Cerebral spinal fluid by Electrophoresis,0.85,ok,Gamma region of protein electrophoresis in CSF
51800,"Potassium, CSF",2819-1,Potassium [Moles/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Potassium, CSF",2819-1,Potassium [Moles/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Potassium in CSF exactly
51801,"Sodium, CSF",2948-8,Sodium [Moles/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Sodium, CSF",2948-8,Sodium [Moles/volume] in Cerebral spinal fluid,0.85,ok,FSN matches Sodium in CSF exactly
51802,"Total Protein, CSF",2880-3,Protein [Mass/volume] in Cerebral spinal fluid,,"Hospital laboratory analyte measured in Cerebrospinal Fluid: Total Protein, CSF",2880-3,Protein [Mass/volume] in Cerebral spinal fluid,0.85,ok,"FSN matches Total Protein, CSF exactly"
