mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
Montelukast,Montelukast,http://www.nlm.nih.gov/research/umls/rxnorm,88249,montelukast,,term-join,Q1-exact,,,,not-needed,
Montelukast Sodium,Montelukast Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,115713,montelukast sodium,,term-join,Q1-exact,,,,not-needed,
Morphine 0.2% Oral Rinse,Morphine 0.2% Oral Rinse,http://snomed.info/sct,373529000,Morphine,,code-search,,373529000,Morphine,0.85,ok,Substance VS; oral rinse formulation maps to active substance morphine
Morphine Infusion – Comfort Care Guidelines,Morphine Infusion – Comfort Care Guidelines,http://www.nlm.nih.gov/research/umls/rxnorm,7052,morphine,,code-search,,7052,morphine,0.85,ok,Base medication concept; infusion/guidelines are context
Morphine SR (MS Contin),Morphine SR (MS Contin),http://www.nlm.nih.gov/research/umls/rxnorm,203354,MS Contin,,code-search,,203354,MS Contin,0.95,ok,Exact brand name match for morphine SR
Morphine Sulfate,Morphine Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,30236,morphine sulfate,,term-join,Q1-exact,,,,not-needed,
Morphine Sulfate (Concentrated Oral Soln),Morphine Sulfate (Concentrated Oral Soln),http://www.nlm.nih.gov/research/umls/rxnorm,30236,morphine sulfate,,term-join,Q3-paren,,,,not-needed,
Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,http://www.nlm.nih.gov/research/umls/rxnorm,892625,morphine sulfate 20 MG in 1 mL Concentrate for Oral Solution,,code-search,,892625,morphine sulfate 20 MG in 1 mL Concentrate for Oral Solution,0.97,ok,FSN matches input exactly: 20 mg/mL concentrated oral solution
Morphine Sulfate (Oral Soln.),Morphine Sulfate (Oral Soln.),http://www.nlm.nih.gov/research/umls/rxnorm,30236,morphine sulfate,,term-join,Q3-paren,,,,not-needed,
Morphine Sulfate (Oral Solution) 2 mg/mL,Morphine Sulfate (Oral Solution) 2 mg/mL,http://www.nlm.nih.gov/research/umls/rxnorm,892589,morphine sulfate 10 MG in 5 mL Oral Solution,,code-search,,892589,morphine sulfate 10 MG in 5 mL Oral Solution,0.86,ok,
Morphine Sulfate For Inhalation,Morphine Sulfate For Inhalation,,,,"code-search proposed 60886004 'Morphine sulfate' at 0.80, below the 0.85 threshold.",code-search,,60886004,Morphine sulfate,0.80,below-threshold,Substance matches; 'for inhalation' route not captured by any candidate
Morphine Sulfate IR,Morphine Sulfate IR,http://www.nlm.nih.gov/research/umls/rxnorm,30236,morphine sulfate,,code-search,,30236,morphine sulfate,0.85,ok,IR qualifier not separately coded; base morphine sulfate matches
Motegrity,Motegrity,http://www.nlm.nih.gov/research/umls/rxnorm,2107346,Motegrity,,term-join,Q1-exact,,,,not-needed,
Mouth Care Oral Rinse,Mouth Care Oral Rinse,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Movantik,Movantik,http://www.nlm.nih.gov/research/umls/rxnorm,1551918,Movantik,,term-join,Q1-exact,,,,not-needed,
MoviPrep,MoviPrep,http://www.nlm.nih.gov/research/umls/rxnorm,669559,MoviPrep,,term-join,Q1-exact,,,,not-needed,
Moxifloxacin,Moxifloxacin,http://www.nlm.nih.gov/research/umls/rxnorm,139462,moxifloxacin,,term-join,Q1-exact,,,,not-needed,
Moxifloxacin 0.5% Ophth (*NF*),Moxifloxacin 0.5% Ophth (*NF*),http://www.nlm.nih.gov/research/umls/rxnorm,403818,moxifloxacin HCl 0.5 % Ophthalmic Solution,,code-search,,403818,moxifloxacin HCl 0.5 % Ophthalmic Solution,0.95,ok,FSN matches moxifloxacin 0.5% ophthalmic solution
Mucinex,Mucinex,http://www.nlm.nih.gov/research/umls/rxnorm,352777,Mucinex,,term-join,Q1-exact,,,,not-needed,
Mucinex DM,Mucinex DM,http://www.nlm.nih.gov/research/umls/rxnorm,214488,dextromethorphan / guaifenesin,,code-search,,214488,dextromethorphan / guaifenesin,0.85,ok,Mucinex DM is brand for dextromethorphan/guaifenesin
Multi Complete with Iron,Multi Complete with Iron,,,,"code-search proposed 412250002 'Multivitamin agent' at 0.70, below the 0.85 threshold.",code-search,,412250002,Multivitamin agent,0.70,below-threshold,"Multivitamin with iron; no exact code, closest broader substance match"
Multi-Vitamin HP/Minerals,Multi-Vitamin HP/Minerals,,,,"code-search proposed 1044961000168105 'Vitamins, minerals and trace elements' at 0.85 but that concept is inactive or outside the SNOMED CT international core module.",code-search,,1044961000168105,"Vitamins, minerals and trace elements",0.85,gate-failed,"Multivitamin with minerals matches vitamins, minerals and trace elements"
MultiChew,MultiChew,,,,"code-search proposed 412250002 'Multivitamin agent' at 0.70, below the 0.85 threshold.",code-search,,412250002,Multivitamin agent,0.70,below-threshold,MultiChew is a multivitamin chewable brand; closest substance match
Multigen,Multigen,http://www.nlm.nih.gov/research/umls/rxnorm,802647,Multigen,,term-join,Q1-exact,,,,not-needed,
Multiple Vitamin-Minerals,Multiple Vitamin-Minerals,,,,"code-search proposed 1044961000168105 'Vitamins, minerals and trace elements' at 0.85 but that concept is inactive or outside the SNOMED CT international core module.",code-search,,1044961000168105,"Vitamins, minerals and trace elements",0.85,gate-failed,FSN captures multivitamin-mineral supplement; others add unstated formula specifics
Multiple Vitamins Liq.,Multiple Vitamins Liq.,http://snomed.info/sct,412250002,Multivitamin agent,,code-search,,412250002,Multivitamin agent,0.85,ok,Generic multivitamin; candidates overstep by specifying vitamin combo
Multivitamins,Multivitamins,http://snomed.info/sct,412250002,Multivitamin agent,,code-search,,412250002,Multivitamin agent,0.95,ok,FSN matches input exactly
Multivitamins W/minerals,Multivitamins W/minerals,http://snomed.info/sct,438681000124106,Multivitamin multimineral supplement,,code-search,,438681000124106,Multivitamin multimineral supplement,0.85,ok,FSN captures multivitamins with minerals
Multivitamins W/minerals Chewable,Multivitamins W/minerals Chewable,http://snomed.info/sct,438681000124106,Multivitamin multimineral supplement,,code-search,,438681000124106,Multivitamin multimineral supplement,0.85,ok,FSN matches multivitamin with minerals; chewable is formulation qualifier
Multivitamins W/minerals Liquid,Multivitamins W/minerals Liquid,http://snomed.info/sct,438681000124106,Multivitamin multimineral supplement,,code-search,,438681000124106,Multivitamin multimineral supplement,0.85,ok,FSN matches multivitamins with minerals; liquid form not captured
Mupirocin Cream 2%,Mupirocin Cream 2%,http://www.nlm.nih.gov/research/umls/rxnorm,311877,mupirocin 2 % Topical Cream,,code-search,,311877,mupirocin 2 % Topical Cream,0.98,ok,FSN matches input exactly
Mupirocin Nasal Ointment 2%,Mupirocin Nasal Ointment 2%,http://www.nlm.nih.gov/research/umls/rxnorm,311878,mupirocin calcium 2 % Nasal Ointment,,code-search,,311878,mupirocin calcium 2 % Nasal Ointment,0.90,ok,FSN matches mupirocin nasal ointment 2%; calcium salt is minor qualifier
Mupirocin Ointment 2%,Mupirocin Ointment 2%,http://www.nlm.nih.gov/research/umls/rxnorm,106346,mupirocin 2 % Topical Ointment,,code-search,,106346,mupirocin 2 % Topical Ointment,0.95,ok,FSN matches input exactly
Muro 128,Muro 128,http://www.nlm.nih.gov/research/umls/rxnorm,218492,Muro 128,,term-join,Q1-exact,,,,not-needed,
Mycophenolate Mofetil,Mycophenolate Mofetil,http://www.nlm.nih.gov/research/umls/rxnorm,68149,mycophenolate mofetil,,term-join,Q1-exact,,,,not-needed,
Mycophenolate Mofetil Suspension,Mycophenolate Mofetil Suspension,http://snomed.info/sct,407883000,Mycophenolate mofetil 200 mg/mL oral suspension,,code-search,,407883000,Mycophenolate mofetil 200 mg/mL oral suspension,0.85,ok,Suspension dose form matches; strength is structural detail
Mycophenolate Sodium DR,Mycophenolate Sodium DR,http://www.nlm.nih.gov/research/umls/rxnorm,408142,mycophenolate sodium,,code-search,,408142,mycophenolate sodium,0.85,ok,Base ingredient matches; DR is a release-form qualifier
Myrbetriq,Myrbetriq,http://www.nlm.nih.gov/research/umls/rxnorm,1300792,Myrbetriq,,term-join,Q1-exact,,,,not-needed,
Mysoline,Mysoline,http://www.nlm.nih.gov/research/umls/rxnorm,203011,Mysoline,,term-join,Q1-exact,,,,not-needed,
Mytesi,Mytesi,http://www.nlm.nih.gov/research/umls/rxnorm,1806873,Mytesi,,term-join,Q1-exact,,,,not-needed,
NAC,NAC,http://www.nlm.nih.gov/research/umls/rxnorm,197,acetylcysteine,,code-search,,197,acetylcysteine,0.85,ok,NAC is the abbreviation for N-acetylcysteine (acetylcysteine)
NIFEdipine,NIFEdipine,http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,term-join,Q1-exact,,,,not-needed,
NIFEdipine (Extended Release),NIFEdipine (Extended Release),http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,term-join,Q3-paren,,,,not-needed,
NIFEdipine (Immediate Release),NIFEdipine (Immediate Release),http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,term-join,Q3-paren,,,,not-needed,
NIFEdipine (bulk),NIFEdipine (bulk),http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,term-join,Q3-paren,,,,not-needed,
NIFEdipine CR,NIFEdipine CR,http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,code-search,,7417,nifedipine,0.85,ok,CR is a release-form qualifier; base nifedipine captures meaning
NMB study control (0.9% NACL 100mL) study med,NMB study control (0.9% NACL 100mL) study med,http://www.nlm.nih.gov/research/umls/rxnorm,313002,sodium chloride 0.9 % Injectable Solution,,code-search,,313002,sodium chloride 0.9 % Injectable Solution,0.85,ok,0.9% NaCl study control medication; matches normal saline injectable
NORepinephrine,NORepinephrine,http://www.nlm.nih.gov/research/umls/rxnorm,7512,norepinephrine,,term-join,Q1-exact,,,,not-needed,
NP Thyroid,NP Thyroid,http://www.nlm.nih.gov/research/umls/rxnorm,1724432,NP Thyroid,,term-join,Q1-exact,,,,not-needed,
NYSTATIN ORAL SUSPENSION,NYSTATIN ORAL SUSPENSION,http://www.nlm.nih.gov/research/umls/rxnorm,312055,"nystatin 100,000 UNT/mL Oral Suspension",,code-search,,312055,"nystatin 100,000 UNT/mL Oral Suspension",0.85,ok,"Nystatin oral suspension; matches concept, adds strength"
Nabumetone,Nabumetone,http://www.nlm.nih.gov/research/umls/rxnorm,31448,nabumetone,,term-join,Q1-exact,,,,not-needed,
Nadolol,Nadolol,http://www.nlm.nih.gov/research/umls/rxnorm,7226,nadolol,,term-join,Q1-exact,,,,not-needed,
Nafcillin,Nafcillin,http://www.nlm.nih.gov/research/umls/rxnorm,7233,nafcillin,,term-join,Q1-exact,,,,not-needed,
Nafcillin Desensitization,Nafcillin Desensitization,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Nafcillin Graded Challenge,Nafcillin Graded Challenge,http://snomed.info/sct,372898000,Nafcillin,,code-search,,372898000,Nafcillin,0.85,ok,"Substance VS; graded challenge is procedure qualifier, substance is Nafcillin"
Nalbuphine HCl,Nalbuphine HCl,http://www.nlm.nih.gov/research/umls/rxnorm,154985,nalbuphine hydrochloride,,term-join,Q2-salt,,,,not-needed,
Naloxone,Naloxone,http://www.nlm.nih.gov/research/umls/rxnorm,7242,naloxone,,term-join,Q1-exact,,,,not-needed,
Naloxone Nasal Spray,Naloxone Nasal Spray,http://snomed.info/sct,715740004,Naloxone-containing product in nasal dose form,,code-search,,715740004,Product containing naloxone in nasal dose form,0.85,ok,Generic input; parent captures naloxone nasal form without brand/strength overstepping
Naltrexone,Naltrexone,http://www.nlm.nih.gov/research/umls/rxnorm,7243,naltrexone,,term-join,Q1-exact,,,,not-needed,
Namenda,Namenda,http://www.nlm.nih.gov/research/umls/rxnorm,405206,Namenda,,term-join,Q1-exact,,,,not-needed,
Namenda XR,Namenda XR,http://snomed.info/sct,406458000,Memantine,,code-search,,406458000,Memantine,0.85,ok,Namenda XR is brand name for memantine; substance match
Namzaric,Namzaric,http://www.nlm.nih.gov/research/umls/rxnorm,1602583,Namzaric,,term-join,Q1-exact,,,,not-needed,
Naphazoline-Pheniramine Ophth. Solution,Naphazoline-Pheniramine Ophth. Solution,http://www.nlm.nih.gov/research/umls/rxnorm,597159,naphazoline / pheniramine,,code-search,,597159,naphazoline / pheniramine,0.85,ok,Generic combination matches input without unstated strength
Naphcon-A,Naphcon-A,http://www.nlm.nih.gov/research/umls/rxnorm,218598,Naphcon A,,code-search,,218598,Naphcon A,0.95,ok,Brand name matches input exactly
Naproxen,Naproxen,http://www.nlm.nih.gov/research/umls/rxnorm,7258,naproxen,,term-join,Q1-exact,,,,not-needed,
Narcan,Narcan,http://www.nlm.nih.gov/research/umls/rxnorm,197117,Narcan,,term-join,Q1-exact,,,,not-needed,
Nasacort,Nasacort,http://www.nlm.nih.gov/research/umls/rxnorm,153239,Nasacort,,term-join,Q1-exact,,,,not-needed,
Nasogel,Nasogel,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Nasonex,Nasonex,http://www.nlm.nih.gov/research/umls/rxnorm,153376,Nasonex,,term-join,Q1-exact,,,,not-needed,
Nasonex (*NF*),Nasonex (*NF*),http://www.nlm.nih.gov/research/umls/rxnorm,153376,Nasonex,,term-join,Q3-paren,,,,not-needed,
Natacyn,Natacyn,http://www.nlm.nih.gov/research/umls/rxnorm,202743,Natacyn,,term-join,Q1-exact,,,,not-needed,
Nateglinide,Nateglinide,http://www.nlm.nih.gov/research/umls/rxnorm,274332,nateglinide,,term-join,Q1-exact,,,,not-needed,
Nature-Throid,Nature-Throid,http://www.nlm.nih.gov/research/umls/rxnorm,352792,Nature-Throid,,term-join,Q1-exact,,,,not-needed,
NebuSal,NebuSal,http://www.nlm.nih.gov/research/umls/rxnorm,1146214,Nebusal,,term-join,Q1-exact,,,,not-needed,
Necon 0.5/35 (28),Necon 0.5/35 (28),http://www.nlm.nih.gov/research/umls/rxnorm,751875,Necon 0.5/35 28 Day Pack,,code-search,,751875,Necon 0.5/35 28 Day Pack,0.97,ok,FSN matches input exactly
Necon 1/35 (28),Necon 1/35 (28),http://www.nlm.nih.gov/research/umls/rxnorm,751879,Necon 1/35 28 Day Pack,,code-search,,751879,Necon 1/35 28 Day Pack,0.98,ok,FSN matches input exactly
Nefazodone,Nefazodone,http://www.nlm.nih.gov/research/umls/rxnorm,31565,nefazodone,,term-join,Q1-exact,,,,not-needed,
NeilMed NasaFlo,NeilMed NasaFlo,http://snomed.info/sct,373757009,Sodium chloride solution,,code-search,,373757009,Sodium chloride solution,0.85,ok,NasaFlo is a nasal saline rinse; active substance is saline
Neilmed Sinus Rinse Complete,Neilmed Sinus Rinse Complete,,,,"code-search proposed 373757009 'Sodium chloride solution' at 0.70, below the 0.85 threshold.",code-search,,373757009,Sodium chloride solution,0.70,below-threshold,Sinus rinse product is saline solution; no exact product code
Neo-Synephrine (phenylephrine),Neo-Synephrine (phenylephrine),http://www.nlm.nih.gov/research/umls/rxnorm,204346,Neo-Synephrine,,term-join,Q3-paren,,,,not-needed,
Neomycin Sulfate,Neomycin Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,7300,neomycin sulfate,,term-join,Q1-exact,,,,not-needed,
Neomycin-Polymyxin B GU,Neomycin-Polymyxin B GU,http://www.nlm.nih.gov/research/umls/rxnorm,466541,neomycin / polymyxin B,,code-search,,466541,neomycin / polymyxin B,0.85,ok,Base combination matches; GU is a route qualifier
Neomycin-Polymyxin-Bacitracin,Neomycin-Polymyxin-Bacitracin,http://www.nlm.nih.gov/research/umls/rxnorm,477619,bacitracin / neomycin / polymyxin B,,code-search,,477619,bacitracin / neomycin / polymyxin B,0.95,ok,FSN matches the three-ingredient combination exactly
Neomycin-Polymyxin-Bacitracin Ophth. Oint,Neomycin-Polymyxin-Bacitracin Ophth. Oint,http://www.nlm.nih.gov/research/umls/rxnorm,308494,bacitracin 400 UNT / neomycin 3.5 MG / polymyxin B 5000 UNT per GM Ophthalmic Ointment,,code-search,,308494,bacitracin 400 UNT / neomycin 3.5 MG / polymyxin B 5000 UNT per GM Ophthalmic Ointment,0.85,ok,Triple combination ophthalmic ointment matches input; strength unspecified so first candidate chosen
Neomycin-Polymyxin-Dexameth Ophth. Oint,Neomycin-Polymyxin-Dexameth Ophth. Oint,http://www.nlm.nih.gov/research/umls/rxnorm,313947,dexamethasone 0.001 MG/MG / neomycin 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,,code-search,,313947,dexamethasone 0.001 MG/MG / neomycin 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,0.90,ok,Matches all three ingredients and ophthalmic ointment form
Neomycin-Polymyxin-Gramicidin,Neomycin-Polymyxin-Gramicidin,http://www.nlm.nih.gov/research/umls/rxnorm,692794,gramicidin / neomycin / polymyxin B,,code-search,,692794,gramicidin / neomycin / polymyxin B,0.95,ok,FSN matches the three-ingredient combination exactly
Neomycin-Polymyxin-HC Otic Susp,Neomycin-Polymyxin-HC Otic Susp,http://www.nlm.nih.gov/research/umls/rxnorm,310681,hydrocortisone 10 MG/ML / neomycin 5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension,,code-search,,310681,hydrocortisone 10 MG/ML / neomycin 5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension,0.95,ok,"Otic suspension with neomycin, polymyxin B, hydrocortisone matches input"
Neomycin/Polymyxin/Dexameth Ophth Susp.,Neomycin/Polymyxin/Dexameth Ophth Susp.,http://www.nlm.nih.gov/research/umls/rxnorm,309681,"dexAMETHasone 0.1 % / neomycin 5 MG/mL / polymyxin B 10,000 UNT/mL Ophthalmic Suspension",,code-search,,309681,"dexAMETHasone 0.1 % / neomycin 5 MG/mL / polymyxin B 10,000 UNT/mL Ophthalmic Suspension",0.90,ok,FSN matches the combination ophthalmic suspension ingredients
Neoral,Neoral,http://www.nlm.nih.gov/research/umls/rxnorm,202817,Neoral,,term-join,Q1-exact,,,,not-needed,
Neosporin (neo-bac-polym),Neosporin (neo-bac-polym),http://www.nlm.nih.gov/research/umls/rxnorm,477619,bacitracin / neomycin / polymyxin B,,code-search,,477619,bacitracin / neomycin / polymyxin B,0.90,ok,Neosporin brand refers to this triple antibiotic combination
Neostigmine,Neostigmine,http://www.nlm.nih.gov/research/umls/rxnorm,7315,neostigmine,,term-join,Q1-exact,,,,not-needed,
Neostigmine (CVICU Reversal Protocol),Neostigmine (CVICU Reversal Protocol),http://www.nlm.nih.gov/research/umls/rxnorm,7315,neostigmine,,term-join,Q3-paren,,,,not-needed,
Nephro-Vite Rx,Nephro-Vite Rx,http://snomed.info/sct,412250002,Multivitamin agent,,code-search,,412250002,Multivitamin agent,0.85,ok,Nephro-Vite Rx is a multivitamin supplement
Nephrocaps,Nephrocaps,http://www.nlm.nih.gov/research/umls/rxnorm,1087620,Nephrocaps,,term-join,Q1-exact,,,,not-needed,
Nesiritide,Nesiritide,http://www.nlm.nih.gov/research/umls/rxnorm,19666,nesiritide,,term-join,Q1-exact,,,,not-needed,
Neulasta,Neulasta,http://www.nlm.nih.gov/research/umls/rxnorm,353501,Neulasta,,term-join,Q1-exact,,,,not-needed,
Neupro,Neupro,http://www.nlm.nih.gov/research/umls/rxnorm,707892,Neupro,,term-join,Q1-exact,,,,not-needed,
Neurontin,Neurontin,http://www.nlm.nih.gov/research/umls/rxnorm,196498,Neurontin,,term-join,Q1-exact,,,,not-needed,
Neutra-Phos,Neutra-Phos,,,,"code-search proposed 259296007 'Phosphate' at 0.70, below the 0.85 threshold.",code-search,,259296007,Phosphate,0.70,below-threshold,"Neutra-Phos is a phosphate supplement; no exact brand code, Phosphate is the closest substance"
Nevirapine,Nevirapine,http://www.nlm.nih.gov/research/umls/rxnorm,53654,nevirapine,,term-join,Q1-exact,,,,not-needed,
NexIUM,NexIUM,http://www.nlm.nih.gov/research/umls/rxnorm,284799,Nexium,,term-join,Q1-exact,,,,not-needed,
NexIUM 24HR,NexIUM 24HR,http://www.nlm.nih.gov/research/umls/rxnorm,284799,Nexium,,code-search,,284799,Nexium,0.85,ok,Brand name for esomeprazole; 24HR is OTC qualifier
NexIUM IV,NexIUM IV,http://www.nlm.nih.gov/research/umls/rxnorm,1294569,esomeprazole sodium,,code-search,,1294569,esomeprazole sodium,0.85,ok,NexIUM IV is esomeprazole sodium; brand maps to ingredient
NexIUM Packet,NexIUM Packet,http://www.nlm.nih.gov/research/umls/rxnorm,283742,esomeprazole,,code-search,,283742,esomeprazole,0.85,ok,Nexium is brand for esomeprazole; packet is packaging qualifier
Nexium,Nexium,http://www.nlm.nih.gov/research/umls/rxnorm,284799,Nexium,,term-join,Q1-exact,,,,not-needed,
NiCARdipine,NiCARdipine,http://www.nlm.nih.gov/research/umls/rxnorm,7396,nicardipine,,term-join,Q1-exact,,,,not-needed,
NiMODipine,NiMODipine,http://www.nlm.nih.gov/research/umls/rxnorm,7426,nimodipine,,term-join,Q1-exact,,,,not-needed,
Niacin,Niacin,http://www.nlm.nih.gov/research/umls/rxnorm,7393,niacin,,term-join,Q1-exact,,,,not-needed,
Niacin SR,Niacin SR,http://www.nlm.nih.gov/research/umls/rxnorm,7393,niacin,,code-search,,7393,niacin,0.85,ok,SR (sustained release) is a non-coded qualifier; base concept niacin
Niacinamide,Niacinamide,http://www.nlm.nih.gov/research/umls/rxnorm,7405,niacinamide,,term-join,Q1-exact,,,,not-needed,
"Niacinamide 3g, 1g, or placebo","Niacinamide 3g, 1g, or placebo",http://www.nlm.nih.gov/research/umls/rxnorm,7405,niacinamide,,code-search,,7405,niacinamide,0.85,ok,Medication ingredient; doses are non-coded qualifiers
Niacinamide or Placebo,Niacinamide or Placebo,http://www.nlm.nih.gov/research/umls/rxnorm,7405,niacinamide,,code-search,,7405,niacinamide,0.85,ok,FSN matches niacinamide; 'or placebo' is non-coded
Niacinamide or placebo,Niacinamide or placebo,http://www.nlm.nih.gov/research/umls/rxnorm,7405,niacinamide,,code-search,,7405,niacinamide,0.85,ok,FSN matches niacinamide; 'or placebo' is non-coded
Niaspan Extended-Release,Niaspan Extended-Release,http://www.nlm.nih.gov/research/umls/rxnorm,346366,Niaspan,,code-search,,346366,Niaspan,0.85,ok,Niaspan is the brand for extended-release niacin; exact product match
Nicotinamide Adenine Dinuc.,Nicotinamide Adenine Dinuc.,http://www.nlm.nih.gov/research/umls/rxnorm,1044975,nicotinamide adenine dinucleotide (NAD),,code-search,,1044975,nicotinamide adenine dinucleotide (NAD),0.95,ok,FSN matches input exactly
Nicotine Lozenge,Nicotine Lozenge,,,,"code-search proposed 7407 'nicotine' at 0.70, below the 0.85 threshold.",code-search,,7407,nicotine,0.70,below-threshold,"Ingredient VS; lozenge form not coded, nicotine is closest"
Nicotine Patch,Nicotine Patch,http://snomed.info/sct,780005003,Nicotine only product in transdermal dose form,,code-search,,780005003,Nicotine only product in transdermal dose form,0.85,ok,"Generic 'nicotine patch' matches parent, not specific dose products"
Nicotine Polacrilex,Nicotine Polacrilex,http://www.nlm.nih.gov/research/umls/rxnorm,31765,nicotine polacrilex,,term-join,Q1-exact,,,,not-needed,
Nicotrol,Nicotrol,http://www.nlm.nih.gov/research/umls/rxnorm,218734,Nicotrol,,term-join,Q1-exact,,,,not-needed,
Nifedical XL,Nifedical XL,http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,code-search,,7417,nifedipine,0.85,ok,Nifedical XL is brand of extended-release nifedipine; ingredient nifedipine
Nikki (28),Nikki (28),http://www.nlm.nih.gov/research/umls/rxnorm,1543553,Nikki 28 Day Pack,,code-search,,1543553,Nikki 28 Day Pack,0.90,ok,Nikki is a 28-day oral contraceptive pack; FSN matches
Nimodipine,Nimodipine,http://www.nlm.nih.gov/research/umls/rxnorm,7426,nimodipine,,term-join,Q1-exact,,,,not-needed,
Nimodipine 30mg/placebo,Nimodipine 30mg/placebo,http://www.nlm.nih.gov/research/umls/rxnorm,198037,niMODipine 30 MG Oral Capsule,,code-search,,198037,niMODipine 30 MG Oral Capsule,0.85,ok,"Nimodipine 30mg matches; placebo is trial context, form unspecified"
Nimodipine 60mg/Placebo,Nimodipine 60mg/Placebo,http://www.nlm.nih.gov/research/umls/rxnorm,249726,nimodipine 60 MG Oral Tablet,,code-search,,249726,nimodipine 60 MG Oral Tablet,0.90,ok,FSN matches nimodipine 60mg; placebo is study context
Nimodipine 60mg/placebo,Nimodipine 60mg/placebo,http://www.nlm.nih.gov/research/umls/rxnorm,249726,nimodipine 60 MG Oral Tablet,,code-search,,249726,nimodipine 60 MG Oral Tablet,0.90,ok,FSN matches nimodipine 60mg; placebo is study context
Ninlaro,Ninlaro,http://www.nlm.nih.gov/research/umls/rxnorm,1723758,Ninlaro,,term-join,Q1-exact,,,,not-needed,
Ninlaro (ixazomib),Ninlaro (ixazomib),http://www.nlm.nih.gov/research/umls/rxnorm,1723758,Ninlaro,,term-join,Q3-paren,,,,not-needed,
Nitrofurantoin (Macrodantin),Nitrofurantoin (Macrodantin),http://www.nlm.nih.gov/research/umls/rxnorm,7454,nitrofurantoin,,term-join,Q3-paren,,,,not-needed,
Nitrofurantoin Monohyd (MacroBID),Nitrofurantoin Monohyd (MacroBID),http://www.nlm.nih.gov/research/umls/rxnorm,221129,"nitrofurantoin, monohydrate",,code-search,,221129,"nitrofurantoin, monohydrate",0.85,ok,Core concept is nitrofurantoin monohydrate; MacroBID is brand shorthand
Nitroglycerin,Nitroglycerin,http://www.nlm.nih.gov/research/umls/rxnorm,4917,nitroglycerin,,term-join,Q1-exact,,,,not-needed,
Nitroglycerin Ointment 0.2%,Nitroglycerin Ointment 0.2%,http://www.nlm.nih.gov/research/umls/rxnorm,389177,nitroglycerin 0.2 % Rectal Ointment,,code-search,,389177,nitroglycerin 0.2 % Rectal Ointment,0.85,ok,Only nitroglycerin 0.2% ointment; route unstated but matches drug and strength
Nitroglycerin Ointment 2%,Nitroglycerin Ointment 2%,http://www.nlm.nih.gov/research/umls/rxnorm,242946,nitroglycerin 2 % Topical Ointment,,code-search,,242946,nitroglycerin 2 % Topical Ointment,0.95,ok,FSN matches input exactly
Nitroglycerin Patch,Nitroglycerin Patch,http://snomed.info/sct,779403000,Glyceryl trinitrate only product in transdermal dose form,,code-search,,779403000,Glyceryl trinitrate only product in transdermal dose form,0.85,ok,"Input is generic; candidates add unstated strength, parent matches"
Nitroglycerin SL,Nitroglycerin SL,http://www.nlm.nih.gov/research/umls/rxnorm,4917,nitroglycerin,,code-search,,4917,nitroglycerin,0.85,ok,"Base ingredient; SL route is a qualifier, no dose-specific code matches"
Nitroglycerin SR,Nitroglycerin SR,http://www.nlm.nih.gov/research/umls/rxnorm,4917,nitroglycerin,,code-search,,4917,nitroglycerin,0.85,ok,SR is a release-form qualifier; base concept nitroglycerin matches
Nitrolingual,Nitrolingual,http://www.nlm.nih.gov/research/umls/rxnorm,151177,Nitrolingual,,term-join,Q1-exact,,,,not-needed,
Nitroprusside Sodium,Nitroprusside Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,9895,sodium nitroprusside,,code-search,,9895,sodium nitroprusside,0.92,ok,
Nivolumab,Nivolumab,http://www.nlm.nih.gov/research/umls/rxnorm,1597876,nivolumab,,term-join,Q1-exact,,,,not-needed,
